PANEL	Genetic_Stock_Acc	GS_IRIS_varname	Source_accno	Country_Origin (ISO standard)	Orytage	IN-PRAY	TJ-PRAY	3K_DNA_IRIS_UNIQUE_ID	TYPE	
213	3K-IRRI	IRGC 128281	DODGUI::IRGC 6666-1	IRGC 6666	India				IRIS 313-10543	aus
214	3K-IRRI	IRGC 127340	DONGREM::IRGC 6688-1	IRGC 6688	India				IRIS 313-10544	ind2
215	3K-IRRI	IRGC 127492	KARIA::IRGC 6702-1	IRGC 6702					IRIS 313-10545	aus
216	3K-IRRI	IRGC 128007	C 34-13::IRGC 6797-2	IRGC 6797	Myanmar				IRIS 313-10547	indx
217	3K-IRRI		RATUA 81::IRGC 6829-1	IRGC 6829	Pakistan				IRIS 313-10549	aus
218	3K-IRRI		221 BC 4-1-45-10::IRGC 6865-1	IRGC 6865	Indonesia				IRIS 313-10550	indx
219	3K-IRRI	IRGC 128150	RL GOPHER::IRGC 6934-2	IRGC 6934	United States of America				IRIS 313-10552	trop1
220	3K-IRRI	IRGC 127235	BONG SEN::IRGC 7011-1	IRGC 7011	Viet Nam				IRIS 313-10554	ind3
221	3K-IRRI	IRGC 128098	LUA HUONG T 1::IRGC 7082-2	IRGC 7082	Viet Nam				IRIS 313-10555	ind3
222	3K-IRRI		LUA DEN MUA::IRGC 7185-1	IRGC 7185	Viet Nam				IRIS 313-10556	ind3
223	3K-IRRI		KONG MARETH 4 T 1::IRGC 7248-1	IRGC 7248	Cambodia				IRIS 313-10557	ind3
224	3K-IRRI	IRGC 128367	LITCHIKIANG::IRGC 7287-1	IRGC 7287	China				IRIS 313-10558	temp
225	3K-IRRI	IRGC 127369	FI LAI FENG::IRGC 7288-1	IRGC 7288	China				IRIS 313-10559	temp
226	3K-IRRI	IRGC 127848	TA PAI MAUNG::IRGC 7292-1	IRGC 7292	China				IRIS 313-10560	ind1A
227	3K-IRRI	IRGC 127645	NAN TEO 14::IRGC 7304-1	IRGC 7304	China				IRIS 313-10561	ind1A
228	3K-IRRI	IRGC 128463	SENG CHUI LIN::IRGC 7313-1	IRGC 7313	China				IRIS 313-10562	japx
229	3K-IRRI	IRGC 128469	SHA TIAO TSAO::IRGC 7339-1	IRGC 7339					IRIS 313-10563	temp
230	3K-IRRI	IRGC 128209	250 KUNGANI 1::IRGC 7370-1	IRGC 7370	Japan				IRIS 313-10564	temp
231	3K-IRRI	IRGC 127098	221 B 36-1-1-1-1::IRGC 7585-1	IRGC 7585	Indonesia				IRIS 313-10565	indx
232	3K-IRRI	IRGC 127099	221 C 391-1-3-3::IRGC 7600-1	IRGC 7600	Indonesia				IRIS 313-10566	indx
233	3K-IRRI	IRGC 128212	AIKAWA 44::IRGC 7676-1	IRGC 7676	Japan				IRIS 313-10567	temp
234	3K-IRRI	IRGC 128414	OITA MII 120::IRGC 7696-1	IRGC 7696	Japan				IRIS 313-10568	temp
235	3K-IRRI	IRGC 128240	BEN KEI::IRGC 7769-1	IRGC 7769	Japan				IRIS 313-10569	temp
236	3K-IRRI	IRGC 128263	CHUSEI HONEN::IRGC 7777-1	IRGC 7777	Japan				IRIS 313-10570	temp
237	3K-IRRI	IRGC 127533	KOTHMALLI KARUPPAN::IRGC 7842-1	IRGC 7842	Nigeria				IRIS 313-10572	indx
238	3K-IRRI	IRGC 128168	SOSSOKA OULE::IRGC 7850-2	IRGC 7850	Mali				IRIS 313-10573	ind2
239	3K-IRRI		KAILUNDO::IRGC 7859-2	IRGC 7859	Sierra Leone				IRIS 313-10574	indx
240	3K-IRRI	IRGC 128074	KAYANGYA D 402::IRGC 7927-2	IRGC 7927	Myanmar				IRIS 313-10575	indx
241	3K-IRRI	IRGC 127979	BAANYALOJOPOIHUN::IRGC 7928-2	IRGC 7928	Sierra Leone				IRIS 313-10576	ind2
242	3K-IRRI	IRGC 128318	IFUGAO RICE::IRGC 8052-1	IRGC 8052	Philippines				IRIS 313-10577	trop1
243	3K-IRRI		PARAY QIKUG KABAYUH::IRGC 8059-1	IRGC 8059	Philippines				IRIS 313-10578	trop1
244	3K-IRRI	IRGC 127718	PARAY KINARABAW::IRGC 8083-1	IRGC 8083	Philippines				IRIS 313-10580	trop1
245	3K-IRRI	IRGC 127741	P PEY SIQAT::IRGC 8129-1	IRGC 8129	Philippines				IRIS 313-10581	trop1
246	3K-IRRI	IRGC 128440	QINOGNAS::IRGC 8135-1	IRGC 8135	Philippines				IRIS 313-10582	trop1
247	3K-IRRI	IRGC 128194	TSAO SIAO PEH TAO::IRGC 8265-2	IRGC 8265	China				IRIS 313-10583	temp
248	3K-IRRI	IRGC 128494	UKON NISHIKI::IRGC 8314-1	IRGC 8314	Japan				IRIS 313-10585	admix
249	3K-IRRI	IRGC 127308	DB 3::IRGC 8361-1	IRGC 8361	Bangladesh				IRIS 313-10587	aus
250	3K-IRRI	IRGC 127324	DJ 69::IRGC 8482-1	IRGC 8482	Bangladesh				IRIS 313-10592	aus
251	3K-IRRI	IRGC 127323	DJ 47::IRGC 8497-1	IRGC 8497	Bangladesh				IRIS 313-10593	aus
252	3K-IRRI	IRGC 127322	DJ 29::IRGC 8505-1	IRGC 8505	Bangladesh				IRIS 313-10594	aus
253	3K-IRRI	IRGC 127327	DL 5::IRGC 8593-1	IRGC 8593	Bangladesh				IRIS 313-10595	aus
254	3K-IRRI	IRGC 128273	DD 126::IRGC 8667-1	IRGC 8667	Bangladesh				IRIS 313-10598	aus
255	3K-IRRI	IRGC 128493	UCP 41::IRGC 8742-1	IRGC 8742	Bangladesh				IRIS 313-10600	aus
256	3K-IRRI	IRGC 127329	DM 49::IRGC 8775-1	IRGC 8775	Bangladesh				IRIS 313-10602	aus
257	3K-IRRI	IRGC 127871	UCP 122::IRGC 8794-1	IRGC 8794	Bangladesh				IRIS 313-10603	aus
258	3K-IRRI	IRGC 127347	DV 2::IRGC 8806-1	IRGC 8806	Bangladesh				IRIS 313-10604	aus
259	3K-IRRI	IRGC 127348	DV 86::IRGC 8840-1	IRGC 8840	Bangladesh				IRIS 313-10605	aus
260	3K-IRRI	IRGC 127346	DV 110::IRGC 8855-1	IRGC 8855	Bangladesh				IRIS 313-10606	aus
261	3K-IRRI	IRGC 127832	T 21::IRGC 8892-1	IRGC 8892	India				IRIS 313-10608	aus
262	3K-IRRI	IRGC 127612	MATHOLUWA::IRGC 8901-1	IRGC 8901	Sri Lanka				IRIS 313-10609	indx
263	3K-IRRI		ALAGUSAMBA::IRGC 8944-2	IRGC 8944	Sri Lanka				IRIS 313-10610	ind2
264	3K-IRRI	IRGC 128049	HAM MOON::IRGC 9135-2	IRGC 9135	Hong Kong				IRIS 313-10614	indx
265	3K-IRRI		KARA SHALI::IRGC 9293-1	IRGC 9293					IRIS 313-10617	temp
266	3K-IRRI	IRGC 128261	CHINES::IRGC 9316-1	IRGC 9316					IRIS 313-10618	temp
267	3K-IRRI	IRGC 127225	BICCO BRANCO::IRGC 9478-1	IRGC 9478					IRIS 313-10619	trop1
268	3K-IRRI	IRGC 128443	R 27::IRGC 9498-1	IRGC 9498	Brazil				IRIS 313-10620	trop1
269	3K-IRRI	IRGC 127804	SIDALI::IRGC 9567-1	IRGC 9567	Nepal				IRIS 313-10623	aus
270	3K-IRRI		O. SATIVA::IRGC 10164-2	IRGC 10164	India				IRIS 313-10628	ind2
271	3K-IRRI	IRGC 127798	SHINCHIKU IKU 97::IRGC 10429-1	IRGC 10429	Taiwan				IRIS 313-10631	temp
272	3K-IRRI	IRGC 128169	SR 26 B::IRGC 10803-2	IRGC 10803	India				IRIS 313-10640	ind2
273	3K-IRRI	IRGC 128455	SACHIKAZE::IRGC 10891-1	IRGC 10891	Japan				IRIS 313-10642	temp
274	3K-IRRI	IRGC 128249	BUSIYETAN::IRGC 11205-1	IRGC 11205	Philippines				IRIS 313-10644	trop1
275	3K-IRRI	IRGC 128359	LENKIBE-N::IRGC 11216-1	IRGC 11216	Philippines				IRIS 313-10645	trop1
276	3K-IRRI		PREAH SIHANOUK::IRGC 11328-2	IRGC 11328	Cambodia				IRIS 313-10648	ind3
277	3K-IRRI	IRGC 127758	RACION 1::IRGC 11340-1	IRGC 11340	Philippines				IRIS 313-10649	trop1
278	3K-IRRI		NAHNG PRAYAH 132::IRGC 11470-1	IRGC 11470	Thailand				IRIS 313-10650	ind3
279	3K-IRRI	IRGC 128134	PHOU SAO LEUM NYANG::IRGC 11570-2	IRGC 11570	Lao People's Democratic Republic				IRIS 313-10651	indx
280	3K-IRRI	IRGC 127268	CHAO PEUAK DENG::IRGC 11602-1	IRGC 11602	Lao People's Democratic Republic				IRIS 313-10652	ind3
281	3K-IRRI		MAK KHEUA::IRGC 11628-1	IRGC 11628	Lao People's Democratic Republic				IRIS 313-10653	trop2
282	3K-IRRI	IRGC 128335	KA SAEN::IRGC 11642-1	IRGC 11642	Lao People's Democratic Republic				IRIS 313-10654	ind3
283	3K-IRRI	IRGC 128285	EA HOUM::IRGC 11783-1	IRGC 11783	Lao People's Democratic Republic				IRIS 313-10655	indx
284	3K-IRRI	IRGC 128407	NOK KOD::IRGC 11784-1	IRGC 11784	Lao People's Democratic Republic				IRIS 313-10656	trop2
285	3K-IRRI		THANGONE::IRGC 11816-1	IRGC 11816	Lao People's Democratic Republic				IRIS 313-10657	trop2
286	3K-IRRI	IRGC 127574	LONG MA::IRGC 11867-1	IRGC 11867	Lao People's Democratic Republic				IRIS 313-10659	ind3
287	3K-IRRI	IRGC 128360	LEP HED::IRGC 11917-1	IRGC 11917	Lao People's Democratic Republic				IRIS 313-10660	trop2
288	3K-IRRI	IRGC 127781	SAMBA::IRGC 11993-1	IRGC 11993	Sri Lanka				IRIS 313-10661	ind2
289	3K-IRRI	IRGC 127476	KAHATAWEE::IRGC 12004-1	IRGC 12004	Sri Lanka				IRIS 313-10662	ind2
290	3K-IRRI	IRGC 127163	ARC 6052::IRGC 12196-1	IRGC 12196	India				IRIS 313-10664	ind2
291	3K-IRRI	IRGC 127164	ARC 6218::IRGC 12255-1	IRGC 12255	India				IRIS 313-10666	indx
292	3K-IRRI	IRGC 127168	ARC 7236::IRGC 12335-1	IRGC 12335	India				IRIS 313-10667	ind2
293	3K-IRRI	IRGC 127974	ARC 7255::IRGC 12343-2	IRGC 12343	India				IRIS 313-10668	indx
294	3K-IRRI		ARC 10296::IRGC 12421-2	IRGC 12421	India				IRIS 313-10670	aro
295	3K-IRRI	IRGC 127128	ARC 10581::IRGC 12514-1	IRGC 12514	India				IRIS 313-10671	indx
296	3K-IRRI	IRGC 127130	ARC 10843::IRGC 12653-1	IRGC 12653	India				IRIS 313-10673	aus
297	3K-IRRI	IRGC 127932	ARC 10846::IRGC 12656-2	IRGC 12656	India				IRIS 313-10674	indx
298	3K-IRRI	IRGC 127132	ARC 10905::IRGC 12669-1	IRGC 12669	India				IRIS 313-10675	indx
299	3K-IRRI	IRGC 127133	ARC 10916::IRGC 12673-1	IRGC 12673	India				IRIS 313-10676	admix
300	3K-IRRI	IRGC 128277	DEWAMINORI::IRGC 12743-1	IRGC 12743	Japan				IRIS 313-10677	temp
301	3K-IRRI		MAKALIOKA::IRGC 12781-2	IRGC 12781	Madagascar				IRIS 313-10678	ind2
302	3K-IRRI		KHAI DO::IRGC 12903-2	IRGC 12903	Lao People's Democratic Republic				IRIS 313-10679	trop2
303	3K-IRRI		MAK NAM::IRGC 12940-2	IRGC 12940	Lao People's Democratic Republic				IRIS 313-10680	ind3
304	3K-IRRI	IRGC 128338	KHAN THAI DO::IRGC 12990-1	IRGC 12990	Lao People's Democratic Republic				IRIS 313-10681	ind3
305	3K-IRRI	IRGC 127707	PA KHENG::IRGC 12996-1	IRGC 12996	Lao People's Democratic Republic				IRIS 313-10682	ind3
306	3K-IRRI	IRGC 127674	NGAN TIA::IRGC 13010-1	IRGC 13010	Lao People's Democratic Republic				IRIS 313-10683	ind3
307	3K-IRRI		BONGOLON::IRGC 13094-1	IRGC 13094	Malaysia				IRIS 313-10684	ind3
308	3K-IRRI		PADI PULUT::IRGC 13444-1	IRGC 13444	Malaysia				IRIS 313-10687	ind3
309	3K-IRRI		PADI TIMBUN::IRGC 13451-1	IRGC 13451	Malaysia				IRIS 313-10688	ind3
310	3K-IRRI	IRGC 128165	SIKEP BATU::IRGC 13514-2	IRGC 13514	Indonesia				IRIS 313-10689	trop1
311	3K-IRRI		LARONDJAWI::IRGC 13571-2	IRGC 13571	Indonesia				IRIS 313-10690	ind3
312	3K-IRRI		RANDAH SASAK::IRGC 13652-2	IRGC 13652	Indonesia				IRIS 313-10692	ind3
313	3K-IRRI		SEREH::IRGC 13732-2	IRGC 13732	Indonesia				IRIS 313-10693	trop1
314	3K-IRRI	IRGC 128047	HAJI HARUN 38::IRGC 13827-2	IRGC 13827	Malaysia				IRIS 313-10694	ind3
315	3K-IRRI	IRGC 128191	TOLIL 14::IRGC 13836-2	IRGC 13836	Malaysia				IRIS 313-10695	ind3
316	3K-IRRI		SIAM ER 16::IRGC 13910-2	IRGC 13910	Malaysia				IRIS 313-10697	ind3
317	3K-IRRI	IRGC 127759	RADIN GOI::IRGC 13969-1	IRGC 13969	Malaysia				IRIS 313-10698	ind3
318	3K-IRRI		BUJANG::IRGC 14040-1	IRGC 14040	Malaysia				IRIS 313-10699	ind3
319	3K-IRRI		CHANTEK 145::IRGC 14045-1	IRGC 14045	Malaysia				IRIS 313-10700	ind3
320	3K-IRRI		RADIN EBOS 35::IRGC 14204-1	IRGC 14204	Malaysia				IRIS 313-10701	ind3
321	3K-IRRI		JAROM EMAS::IRGC 14272-1	IRGC 14272	Malaysia				IRIS 313-10702	ind3
322	3K-IRRI	IRGC 128418	PADI ADONG DUMARAT::IRGC 14356-1	IRGC 14356	Malaysia				IRIS 313-10703	trop1
323	3K-IRRI	IRGC 128419	PADI DARAWAL::IRGC 14373-1	IRGC 14373	Malaysia				IRIS 313-10704	trop1
324	3K-IRRI	IRGC 128124	PADI PULOT MELAYANG::IRGC 14391-2	IRGC 14391	Malaysia				IRIS 313-10705	indx
325	3K-IRRI		ANAK CHINA::IRGC 14479-1	IRGC 14479	Malaysia				IRIS 313-10706	ind3
326	3K-IRRI		ANAK DIDEK::IRGC 14491-1	IRGC 14491	Malaysia				IRIS 313-10707	ind3
327	3K-IRRI	IRGC 128233	B 6311 A 5553-16-2::IRGC 14541-1	IRGC 14541	United States of America				IRIS 313-10708	trop1
328	3K-IRRI	IRGC 128135	PINDE GOGO WIERIE::IRGC 14795-2	IRGC 14795	Surinam				IRIS 313-10710	trop1
329	3K-IRRI		7 AC::IRGC 14860-2	IRGC 14860	Liberia				IRIS 313-10711	trop1
330	3K-IRRI	IRGC 128354	KOTO OURA S 5::IRGC 15155-1	IRGC 15155	Cote d'Ivoire				IRIS 313-10712	trop1
331	3K-IRRI	IRGC 127827	SUDU KARAYAL::IRGC 15348-1	IRGC 15348	Sri Lanka				IRIS 313-10715	ind2
332	3K-IRRI	IRGC 127640	MURUNGA::IRGC 15428-1	IRGC 15428	Sri Lanka				IRIS 313-10716	ind2
333	3K-IRRI	IRGC 127725	PERIYA VELLAI::IRGC 15475-1	IRGC 15475	Sri Lanka				IRIS 313-10717	ind2
334	3K-IRRI	IRGC 128073	KARUTHA SEENATI::IRGC 15515-2	IRGC 15515	Sri Lanka				IRIS 313-10718	aus
335	3K-IRRI	IRGC 127886	VELLAI KOLOMBAN::IRGC 15517-1	IRGC 15517	Sri Lanka				IRIS 313-10719	ind2
336	3K-IRRI		HEENDIKWEE::IRGC 15587-2	IRGC 15587	Sri Lanka				IRIS 313-10720	indx
337	3K-IRRI	IRGC 127401	HALSUDU HEENATI::IRGC 15599-1	IRGC 15599	Sri Lanka				IRIS 313-10721	ind2
338	3K-IRRI	IRGC 128301	GODAWEL::IRGC 15750-1	IRGC 15750	Sri Lanka				IRIS 313-10722	trop1
339	3K-IRRI	IRGC 128111	MOND BA::IRGC 15813-2	IRGC 15813	Senegal				IRIS 313-10723	ind2
340	3K-IRRI		MOUSOIR::IRGC 15866-1	IRGC 15866	Senegal				IRIS 313-10724	ind3
341	3K-IRRI	IRGC 128518	ERNEST::IRGC 15884-2	IRGC 15884	Senegal				IRIS 313-10725	indx
342	3K-IRRI	IRGC 128139	POTO BALA::IRGC 15986-2	IRGC 15986	Senegal				IRIS 313-10726	ind3
343	3K-IRRI		KOUPENEDOU KOUBOURY::IRGC 16011-1	IRGC 16011	Senegal				IRIS 313-10727	ind3
344	3K-IRRI		OUSSANTHIABA::IRGC 16046-2	IRGC 16046	Senegal				IRIS 313-10728	indx
345	3K-IRRI	IRGC 128379	MALOGBANA::IRGC 16086-1	IRGC 16086	Cote d'Ivoire				IRIS 313-10729	admix
346	3K-IRRI		NANIBRE::IRGC 16102-2	IRGC 16102	Cote d'Ivoire				IRIS 313-10730	trop1
347	3K-IRRI	IRGC 127212	BARKHE TAULI::IRGC 16116-1	IRGC 16116	Nepal				IRIS 313-10731	ind1A
348	3K-IRRI	IRGC 128102	MADHUWA KARIA::IRGC 16138-2	IRGC 16138	Nepal				IRIS 313-10732	aro
349	3K-IRRI	IRGC 127634	MOTANGE PAHELLO LAULE::IRGC 16160-1	IRGC 16160	Nepal				IRIS 313-10733	indx
350	3K-IRRI	IRGC 127315	DEVARASI::IRGC 16173-1	IRGC 16173	Nepal				IRIS 313-10734	aus
351	3K-IRRI	IRGC 127546	LAL SAR::IRGC 16185-1	IRGC 16185	Nepal				IRIS 313-10735	aus
352	3K-IRRI	IRGC 128149	RERM BILASH::IRGC 16273-2	IRGC 16273	Nepal				IRIS 313-10736	aus
353	3K-IRRI	IRGC 128297	GHAIYA::IRGC 16286-1	IRGC 16286	Nepal				IRIS 313-10737	aus
354	3K-IRRI		ANDEL WELUT::IRGC 16339-1	IRGC 16339	Indonesia				IRIS 313-10738	admix
355	3K-IRRI		GOGO::IRGC 16418-1	IRGC 16418	Indonesia				IRIS 313-10739	indx
356	3K-IRRI	IRGC 127508	KETAN PAPAH AREN::IRGC 16467-1	IRGC 16467	Indonesia				IRIS 313-10740	trop1
357	3K-IRRI	IRGC 127509	KETAN PELERN::IRGC 16468-1	IRGC 16468	Indonesia				IRIS 313-10741	trop1
358	3K-IRRI	IRGC 127600	MAMAS::IRGC 16503-1	IRGC 16503	Indonesia				IRIS 313-10742	ind3
359	3K-IRRI	IRGC 128465	SERAJU::IRGC 16565-1	IRGC 16565	Indonesia				IRIS 313-10743	trop1
360	3K-IRRI	IRGC 127811	SIPON::IRGC 16570-1	IRGC 16570	Indonesia				IRIS 313-10744	trop1
361	3K-IRRI	IRGC 127818	SLOBOK::IRGC 16571-1	IRGC 16571	Indonesia				IRIS 313-10745	trop1
362	3K-IRRI		TJEMPO KREMBUNG::IRGC 16603-1	IRGC 16603	Indonesia				IRIS 313-10746	trop1
363	3K-IRRI		TJOKRON::IRGC 16653-2	IRGC 16653	Indonesia				IRIS 313-10747	trop1
364	3K-IRRI	IRGC 127578	LUA DUC::IRGC 16718-1	IRGC 16718	Viet Nam				IRIS 313-10748	indx
365	3K-IRRI		MINH SOC (CAMBODIA)::IRGC 16731-2	IRGC 16731	Viet Nam				IRIS 313-10749	ind3
366	3K-IRRI		TRANG LUA::IRGC 16781-1	IRGC 16781	Viet Nam				IRIS 313-10750	ind3
367	3K-IRRI	IRGC 127577	LUA CHUM::IRGC 16840-1	IRGC 16840	Viet Nam				IRIS 313-10751	indx
368	3K-IRRI	IRGC 128415	O. SATIVA::IRGC 16898-1	IRGC 16898	United States of America				IRIS 313-10752	trop1
369	3K-IRRI	IRGC 128205	ZACATEPEC::IRGC 16901-2	IRGC 16901	United States of America				IRIS 313-10753	ind1B
370	3K-IRRI	IRGC 128081	KH 998::IRGC 16948-2	IRGC 16948	India				IRIS 313-10754	indx
371	3K-IRRI	IRGC 128116	NEP BA BONG TO::IRGC 17005-2	IRGC 17005	Viet Nam				IRIS 313-10755	ind3
372	3K-IRRI	IRGC 127299	DAMODAR::IRGC 17038-1	IRGC 17038	India				IRIS 313-10756	ind2
373	3K-IRRI		PEUAK NAM 43::IRGC 17129-1	IRGC 17129	Thailand				IRIS 313-10757	ind3
374	3K-IRRI		AEN METAN::IRGC 17142-1	IRGC 17142	Indonesia				IRIS 313-10758	trop1
375	3K-IRRI	IRGC 127927	ANDEL::IRGC 17153-2	IRGC 17153	Indonesia				IRIS 313-10759	trop1
376	3K-IRRI		ATJEH::IRGC 17174-1	IRGC 17174	Indonesia				IRIS 313-10760	ind3
377	3K-IRRI	IRGC 127984	BALIK SEMAH::IRGC 17201-2	IRGC 17201	Indonesia				IRIS 313-10761	trop1
378	3K-IRRI	IRGC 127207	BANDI::IRGC 17214-1	IRGC 17214	Indonesia				IRIS 313-10762	ind3
379	3K-IRRI	IRGC 128010	CERE KAWAT::IRGC 17401-2	IRGC 17401	Indonesia				IRIS 313-10765	trop1
380	3K-IRRI	IRGC 127325	DJALAWARA::IRGC 17471-1	IRGC 17471	Indonesia				IRIS 313-10766	trop1
381	3K-IRRI	IRGC 128032	DJANGGOT::IRGC 17491-2	IRGC 17491	Indonesia				IRIS 313-10767	trop1
382	3K-IRRI		GADABUNG (GUNDIL)::IRGC 17569-2	IRGC 17569	Indonesia				IRIS 313-10768	ind3
383	3K-IRRI	IRGC 127375	GAJA BARU::IRGC 17586-1	IRGC 17586	Indonesia				IRIS 313-10769	indx
384	3K-IRRI	IRGC 128042	GANDAMANA::IRGC 17593-2	IRGC 17593	Indonesia				IRIS 313-10770	trop1
385	3K-IRRI		GOGO RAJAPAN::IRGC 17666-2	IRGC 17666	Indonesia				IRIS 313-10771	trop1
386	3K-IRRI	IRGC 127388	GOJOT::IRGC 17669-1	IRGC 17669	Indonesia				IRIS 313-10772	ind3
387	3K-IRRI		HAWARA DJEDAH::IRGC 17728-1	IRGC 17728	Indonesia				IRIS 313-10773	trop1
388	3K-IRRI	IRGC 127404	HEGAR MANAH::IRGC 17733-1	IRGC 17733	Indonesia				IRIS 313-10774	indx
389	3K-IRRI	IRGC 128056	INDEL::IRGC 17748-2	IRGC 17748	Indonesia				IRIS 313-10775	indx
390	3K-IRRI		KABADOKA::IRGC 17775-2	IRGC 17775	Indonesia				IRIS 313-10776	trop1
391	3K-IRRI	IRGC 127483	KAMAS::IRGC 17785-1	IRGC 17785	Indonesia				IRIS 313-10777	ind3
392	3K-IRRI		KENTJANA MAHANG::IRGC 17818-1	IRGC 17818	Indonesia				IRIS 313-10778	ind3
393	3K-IRRI	IRGC 128521	KERAN DUKUH::IRGC 17822-2	IRGC 17822	Indonesia				IRIS 313-10779	ind3
394	3K-IRRI	IRGC 127505	KETAN LALER::IRGC 17897-1	IRGC 17897	Indonesia				IRIS 313-10780	trop1
395	3K-IRRI	IRGC 127506	KETAN MLANTING::IRGC 17916-1	IRGC 17916	Indonesia				IRIS 313-10781	trop1
396	3K-IRRI	IRGC 128078	KETAN NARIS::IRGC 17925-2	IRGC 17925	Indonesia				IRIS 313-10782	ind3
397	3K-IRRI	IRGC 127507	KETAN OSOG::IRGC 17929-1	IRGC 17929	Indonesia				IRIS 313-10783	trop1
398	3K-IRRI	IRGC 128079	KETAN SAPI::IRGC 17954-2	IRGC 17954	Indonesia				IRIS 313-10784	trop1
399	3K-IRRI	IRGC 127510	KETAN SLAWI::IRGC 17963-1	IRGC 17963	Indonesia				IRIS 313-10785	trop1
400	3K-IRRI		KETAN URANG::IRGC 17980-1	IRGC 17980	Indonesia				IRIS 313-10786	ind3
401	3K-IRRI		KWATIK PUTIH::IRGC 18053-1	IRGC 18053	Indonesia				IRIS 313-10787	ind3
402	3K-IRRI		LEMUNGSIR::IRGC 18116-1	IRGC 18116	Indonesia				IRIS 313-10788	trop1
403	3K-IRRI		LENGGANG GENUK BULU::IRGC 18119-1	IRGC 18119	Indonesia				IRIS 313-10789	trop1
404	3K-IRRI		LOLAWAJI::IRGC 18131-1	IRGC 18131	Indonesia				IRIS 313-10790	trop1
405	3K-IRRI	IRGC 127602	MANGSUR::IRGC 18187-1	IRGC 18187	Indonesia				IRIS 313-10791	ind3
406	3K-IRRI	IRGC 127613	MATIANG::IRGC 18220-1	IRGC 18220	Indonesia				IRIS 313-10792	ind3
407	3K-IRRI		MELIK::IRGC 18238-2	IRGC 18238	Indonesia				IRIS 313-10793	trop1
408	3K-IRRI	IRGC 127624	MENDUNGAN::IRGC 18245-1	IRGC 18245	Indonesia				IRIS 313-10794	trop1
409	3K-IRRI	IRGC 128389	MLATI::IRGC 18278-1	IRGC 18278	Indonesia				IRIS 313-10795	trop1
410	3K-IRRI	IRGC 128390	MOLOG::IRGC 18282-1	IRGC 18282	Indonesia				IRIS 313-10796	trop1
411	3K-IRRI		NARUN::IRGC 18320-2	IRGC 18320	Indonesia				IRIS 313-10797	ind3
412	3K-IRRI		NOGO BELE 2::IRGC 18328-2	IRGC 18328	Indonesia				IRIS 313-10798	trop1
413	3K-IRRI	IRGC 127704	PAE ONGGA::IRGC 18418-1	IRGC 18418	Indonesia				IRIS 313-10799	trop1
414	3K-IRRI	IRGC 128127	PALOTAN MELATI::IRGC 18426-2	IRGC 18426	Indonesia				IRIS 313-10800	trop1
415	3K-IRRI		PARE BUWUN::IRGC 18456-2	IRGC 18456	Indonesia				IRIS 313-10801	trop1
416	3K-IRRI		PEUTEUJ::IRGC 18484-1	IRGC 18484	Indonesia				IRIS 313-10802	trop1
417	3K-IRRI		PLAMPEYAN::IRGC 18494-1	IRGC 18494	Indonesia				IRIS 313-10803	trop1
418	3K-IRRI		PUAK::IRGC 18512-1	IRGC 18512	Indonesia				IRIS 313-10804	ind3
419	3K-IRRI	IRGC 127746	PULO::IRGC 18519-1	IRGC 18519	Indonesia				IRIS 313-10805	trop1
420	3K-IRRI		RADEN DJAWA (GUNDIL)::IRGC 18558-1	IRGC 18558	Indonesia				IRIS 313-10806	ind3
421	3K-IRRI		RANDA KUNING::IRGC 18595-1	IRGC 18595	Indonesia				IRIS 313-10807	ind3
422	3K-IRRI	IRGC 128147	RANTE::IRGC 18608-2	IRGC 18608	Indonesia				IRIS 313-10808	trop1
423	3K-IRRI	IRGC 128158	SAMPANG KUNING::IRGC 18678-2	IRGC 18678	Indonesia				IRIS 313-10809	trop1
424	3K-IRRI		SEGON BENGGALA::IRGC 18724-1	IRGC 18724	Indonesia				IRIS 313-10810	ind3
425	3K-IRRI	IRGC 128160	SEMPOR::IRGC 18761-2	IRGC 18761	Indonesia				IRIS 313-10811	indx
426	3K-IRRI		SERUNEN::IRGC 18789-1	IRGC 18789	Indonesia				IRIS 313-10812	ind3
427	3K-IRRI		SIAM BARABAI::IRGC 18800-2	IRGC 18800	Indonesia				IRIS 313-10813	ind3
428	3K-IRRI	IRGC 128163	SIBORAS::IRGC 18816-2	IRGC 18816	Indonesia				IRIS 313-10814	ind3
429	3K-IRRI		SIDJANGGUK::IRGC 18826-2	IRGC 18826	Indonesia				IRIS 313-10815	trop1
430	3K-IRRI	IRGC 128164	SIDJERO GUNDIL::IRGC 18829-2	IRGC 18829	Indonesia				IRIS 313-10816	trop1
431	3K-IRRI		SLAMET::IRGC 18900-1	IRGC 18900	Indonesia				IRIS 313-10817	trop1
432	3K-IRRI	IRGC 128188	TJEMPO PENDEK UNTUNG::IRGC 19055-2	IRGC 19055	Indonesia				IRIS 313-10818	ind3
433	3K-IRRI	IRGC 127860	TJERE ENER::IRGC 19103-1	IRGC 19103	Indonesia				IRIS 313-10819	ind3
434	3K-IRRI	IRGC 128189	TJERE MANGGA::IRGC 19116-2	IRGC 19116	Indonesia				IRIS 313-10820	ind3
435	3K-IRRI	IRGC 127862	TJ PERAK::IRGC 19141-1	IRGC 19141	Indonesia				IRIS 313-10821	ind3
436	3K-IRRI	IRGC 128199	UNGGAS::IRGC 19176-2	IRGC 19176	Indonesia				IRIS 313-10822	ind3
